X,Y,upper_depth,lower_depth,value_avg,dataset_id,region,continent,date
-106.1380029,23.41927815,19.0,25.0,0.1,MX-INEGI,Central America,Northern America,2003
-106.0019455,35.914444,15.0,23.0,1.9,US-NCSS,Northern America,Northern America,1997
139.5674415,-35.73499357,15.0,30.0,0.1,AU-CSIRO,Australia and New Zealand,Oceania,Unknown
-105.1582533,27.34813584,17.0,24.0,1.3,MX-INEGI,Central America,Northern America,2005
102.0999985,15.1333332,15.0,23.0,2.0,WD-WISE,South-Eastern Asia,Asia,1982
-59.78472222,-34.07833333,18.0,27.0,0.1,WD-WISE,South America,South America,1965
99.7825,7.094722222,17.0,30.0,0.0,WD-WISE,South-Eastern Asia,Asia,Unknown
138.6136964,-35.17944393,15.0,28.0,0.5,AU-CSIRO,Australia and New Zealand,Oceania,1995
-110.9338913,48.1650009,18.0,25.0,0.5,US-NCSS,Northern America,Northern America,1988
-93.26216401,16.27762764,20.0,30.0,0.0,MX-INEGI,Central America,Northern America,2004
-97.0665741,48.97451782,18.0,26.0,5.4,US-NCSS,Northern America,Northern America,Unknown
-120.960556,44.3966675,18.0,21.0,0.5,US-NCSS,Northern America,Northern America,1955
-117.6729431,47.4541931,15.0,23.0,1.7,US-NCSS,Northern America,Northern America,2005
-104.0358353,47.6505547,19.0,28.0,0.6,US-NCSS,Northern America,Northern America,1995
-117.1672211,34.9286118,15.0,30.0,11.0,US-NCSS,Northern America,Northern America,1955
-98.9281921,44.602478,15.0,28.0,0.4,US-NCSS,Northern America,Northern America,1951
-7.5666666,33.0166664,20.0,30.0,0.5,US-NCSS,Northern Africa,Africa,1987
121.45,14.43333333,15.0,29.0,0.1,WD-WISE,South-Eastern Asia,Asia,1983
-103.2550735,28.57213947,16.0,28.0,1.0,MX-INEGI,Central America,Northern America,Unknown
-111.3777771,41.2288895,15.0,23.0,0.6,US-NCSS,Northern America,Northern America,1972
-98.2041702,43.5272217,18.0,23.0,0.6,US-NCSS,Northern America,Northern America,1961
-107.1166687,43.3591652,15.0,25.0,0.5,US-NCSS,Northern America,Northern America,1983
28.041111,-21.905278,16.0,30.0,10.6,SAF-SOTER,Southern Africa,Africa,1985
-111.1191635,43.8719444,16.0,25.0,0.6,US-NCSS,Northern America,Northern America,1956
-110.7734274,23.96954583,16.0,30.0,0.2,MX-INEGI,Central America,Northern America,2005
-117.3242493,37.8282776,15.0,30.0,0.9,US-NCSS,Northern America,Northern America,1973
147.6649933,61.8469429,15.0,24.0,0.0,WD-WISE,Eastern Europe,Europe,1992
24.6,57.09972222,18.0,26.0,0.0,EU-SOTER,Northern Europe,Europe,1994
-120.6530533,45.6488876,20.0,25.0,0.2,US-NCSS,Northern America,Northern America,1957
-100.6501492,47.4598283,15.0,30.0,7.0,US-NCSS,Northern America,Northern America,Unknown
-113.3503647,46.3248901,18.0,25.0,0.4,US-NCSS,Northern America,Northern America,1961
-115.746,43.1649444,15.0,27.0,6.4,US-NCSS,Northern America,Northern America,2010
-112.5924988,43.623333,18.0,30.0,8.4,US-NCSS,Northern America,Northern America,1993
-81.1750031,7.7916665,15.0,30.0,0.1,WD-WISE,Central America,Northern America,1982
-98.2891693,45.4994431,18.0,28.0,4.6,US-NCSS,Northern America,Northern America,1981
34.9,-1.733333,15.0,30.0,1.2,AF-AfSP,Eastern Africa,Africa,1976
-86.9194412,39.3430557,23.0,30.0,0.0,WD-WISE,Northern America,Northern America,1989
-98.3708344,40.9500008,20.0,30.0,1.4,US-NCSS,Northern America,Northern America,1949
140.108503,-36.14908115,24.0,30.0,10.5,AU-CSIRO,Australia and New Zealand,Oceania,2003
-120.8616638,44.3405571,15.0,28.0,0.6,US-NCSS,Northern America,Northern America,1955
-79.3649979,35.3800011,15.0,25.0,0.1,US-NCSS,Northern America,Northern America,1983
-100.2902778,48.7405556,15.0,20.0,0.4,US-NCSS,Northern America,Northern America,Unknown
-119.7399979,38.8738899,20.0,28.0,0.2,US-NCSS,Northern America,Northern America,1959
102.0999985,15.1333332,15.0,23.0,2.0,US-NCSS,South-Eastern Asia,Asia,1982
9.066667,4.05,15.0,25.0,0.1,WD-WISE,Middle Africa,Africa,1976
-98.2385278,47.6142778,18.0,25.0,4.6,US-NCSS,Northern America,Northern America,2009
