X,Y,upper_depth,lower_depth,value_avg,dataset_id,region,continent,date
-113.9466629,39.9711113,89.0,109.0,1.1,US-NCSS,Northern America,Northern America,Unknown
-103.75372,26.74579534,83.0,120.0,4.2,MX-INEGI,Central America,Northern America,Unknown
29.316667,-3.366667,60.0,100.0,1.6,US-NCSS,Eastern Africa,Africa,Unknown
-100.6602783,43.9302788,55.0,67.0,4.1,US-NCSS,Northern America,Northern America,Unknown
-112.4682466,30.05670469,72.0,90.0,1.0,MX-INEGI,Central America,Northern America,Unknown
37.366667,-1.872778,45.0,70.0,0.1,WD-WISE,Eastern Africa,Africa,Unknown
-114.3155136,34.073658,38.0,66.0,11.5,US-NCSS,Northern America,Northern America,Unknown
-104.6154707,28.03513738,85.0,117.0,0.5,MX-INEGI,Central America,Northern America,Unknown
-111.875,42.0419426,53.0,84.0,0.6,US-NCSS,Northern America,Northern America,Unknown
-103.5199966,41.582222,74.0,104.0,0.6,US-NCSS,Northern America,Northern America,Unknown
-107.4639437,30.9655335,54.0,77.0,0.1,MX-INEGI,Central America,Northern America,Unknown
-101.75553,26.57470014,94.0,129.0,0.2,MX-INEGI,Central America,Northern America,Unknown
15.0,-15.0,65.0,110.0,0.1,WD-WISE,Middle Africa,Africa,Unknown
-110.7215761,28.21570723,90.0,125.0,0.1,MX-INEGI,Central America,Northern America,Unknown
-114.5702744,34.8638878,51.0,76.0,8.6,US-NCSS,Northern America,Northern America,Unknown
36.7333336,34.8499985,45.0,80.0,1.0,US-NCSS,Western Asia,Asia,Unknown
10.094444,6.516667,76.0,142.0,0.1,AF-AfSP,Middle Africa,Africa,Unknown
109.7333333,1.833333333,58.0,75.0,0.1,WD-WISE,South-Eastern Asia,Asia,Unknown
-104.0949478,34.2273178,74.0,92.0,10.9,US-NCSS,Northern America,Northern America,Unknown
137.0790701,-35.95497077,52.0,70.0,0.3,AU-CSIRO,Australia and New Zealand,Oceania,Unknown
-103.0012003,25.56172048,74.0,105.0,2.0,MX-INEGI,Central America,Northern America,Unknown
-100.8688889,36.3194427,58.0,101.0,1.8,US-NCSS,Northern America,Northern America,Unknown
-115.6016388,45.7836113,47.0,74.0,0.1,US-NCSS,Northern America,Northern America,Unknown
-102.9422222,47.4794444,41.0,76.0,0.1,US-NCSS,Northern America,Northern America,Unknown
-95.2705214,18.61088979,63.0,92.0,0.0,MX-INEGI,Central America,Northern America,Unknown
-110.8327789,32.248333,63.0,100.0,1.3,US-NCSS,Northern America,Northern America,Unknown
-98.4322488,24.1517885,34.0,87.0,15.0,MX-INEGI,Central America,Northern America,Unknown
-101.1004004,25.97541753,66.0,89.0,0.3,MX-INEGI,Central America,Northern America,Unknown
-114.7491684,40.1736107,70.0,93.0,9.3,US-NCSS,Northern America,Northern America,Unknown
-95.0811081,35.1863899,36.0,68.0,0.6,US-NCSS,Northern America,Northern America,Unknown
140.839889,-37.34730325,50.0,70.0,0.5,AU-CSIRO,Australia and New Zealand,Oceania,Unknown
145.4974238,-23.49686907,50.0,105.0,41.0,AU-CSIRO,Australia and New Zealand,Oceania,Unknown
-112.0469437,33.1961098,81.0,130.0,15.1,US-NCSS,Northern America,Northern America,Unknown
-106.6840515,48.0157738,53.0,110.0,7.5,US-NCSS,Northern America,Northern America,Unknown
-99.2386039,46.1157604,60.0,75.0,1.8,US-NCSS,Northern America,Northern America,Unknown
