X,Y,upper_depth,lower_depth,value_avg,dataset_id,region,continent,date
-105.0122223,42.1300011,10,15,0.5,US-NCSS,Northern America,Northern America,1958
-100.8897201,26.53827954,10,30,2.0,MX-INEGI,Central America,Northern America,1986
-115.6094971,46.7658348,0,18,0.1,US-NCSS,Northern America,Northern America,1982
-109.7980576,41.5113907,5,15,1.3,US-NCSS,Northern America,Northern America,Unknown
-111.7810129,26.33883561,0,12,2.0,MX-INEGI,Central America,Northern America,1984
-105.6277771,44.7658348,0,5,0.5,US-NCSS,Northern America,Northern America,2000
-109.901001,37.8460007,7,21,0.8,US-NCSS,Northern America,Northern America,1992
35.583333,13.283333,0,30,0.1,WD-WISE,Northern Africa,Africa,1966
-113.4858551,41.7174149,10,28,0.9,US-NCSS,Northern America,Northern America,1982
-103.0617837,26.08005664,22,60,2.7,MX-INEGI,Central America,Northern America,1970
-115.544693,45.7908325,4,20,0.1,US-NCSS,Northern America,Northern America,1976
115.837181,-33.140746,10,20,1.5,AU-CSIRO,Australia and New Zealand,Oceania,1988
-110.2099627,29.00245874,30,47,0.2,MX-INEGI,Central America,Northern America,2003
-116.130134,31.1430406,11,25,0.1,MX-INEGI,Central America,Northern America,2002
-115.8953171,37.6132927,25,38,14.8,US-NCSS,Northern America,Northern America,1959
-97.792778,27.347084,18,25,1.2,US-NCSS,Northern America,Northern America,2001
135.7649746,-34.53325971,7,25,1.0,AU-CSIRO,Australia and New Zealand,Oceania,Unknown
-119.5009232,33.25003052,13,48,3.0,US-NCSS,Northern America,Northern America,1996
-106.1379998,26.34818186,0,15,2.0,MX-INEGI,Central America,Northern America,1989
-106.206665,41.9075012,5,25,0.5,US-NCSS,Northern America,Northern America,1980
-102.9794075,27.41970642,0,11,38.9,MX-INEGI,Central America,Northern America,1997
-17.013,14.886,0,15,0.3,SN&GM-SOTER,Western Africa,Africa,2003
-115.5562898,31.3299101,0,10,0.2,MX-INEGI,Central America,Northern America,2002
-109.1110697,29.79729192,0,20,1.0,MX-INEGI,Central America,Northern America,Unknown
145.5395036,-23.10785855,0,12,0.3,AU-CSIRO,Australia and New Zealand,Oceania,2002
25.73917,-33.28305,8,67,2.9,SAF-SOTER,Southern Africa,Africa,1983
-118.8877792,43.2002792,0,13,30.1,US-NCSS,Northern America,Northern America,1995
-102.2928792,18.13193937,0,32,1.0,MX-INEGI,Central America,Northern America,Unknown
-94.13540592,17.2183898,0,15,1.0,MX-INEGI,Central America,Northern America,Unknown
1.738611,13.110833,4,15,0.1,AF-AfSP,Western Africa,Africa,Unknown
-108.4102783,43.1175003,0,5,0.7,US-NCSS,Northern America,Northern America,1954
-104.8990293,21.39185331,25,40,1.0,MX-INEGI,Central America,Northern America,1996
-105.8012466,48.057724,20,46,0.7,US-NCSS,Northern America,Northern America,1950
-103.5264685,19.53518651,5,17,0.2,MX-INEGI,Central America,Northern America,2002
-91.54283555,17.61888958,14,31,0.0,MX-INEGI,Central America,Northern America,2004
-102.2039207,17.98260388,0,52,1.0,MX-INEGI,Central America,Northern America,2005
81.20523071,29.18927956,0,10,0.1,NP-SOTER,Southern Asia,Asia,1980
28.066667,-14.716667,21,39,0.1,WD-WISE,Eastern Africa,Africa,1983
-112.7438889,31.8627777,30,46,21.2,US-NCSS,Northern America,Northern America,1971
-98.6100006,32.6572227,9,24,0.5,US-NCSS,Northern America,Northern America,1989
-103.8016434,29.7739105,30,66,0.6,US-NCSS,Northern America,Northern America,1993
-120.1516647,35.9355545,18,46,2.5,US-NCSS,Northern America,Northern America,1989
-102.542778,34.3381119,0,10,0.9,US-NCSS,Northern America,Northern America,2006
-116.6387558,43.786541,8,18,0.3,US-NCSS,Northern America,Northern America,1957
-102.1202774,45.0761108,8,15,0.7,US-NCSS,Northern America,Northern America,1954
-101.7294998,33.5681152,0,2,1.3,US-NCSS,Northern America,Northern America,2010
-99.29701667,17.72068589,25,45,0.1,MX-INEGI,Central America,Northern America,2003
18.43556,-33.30056,25,50,1.8,ZA-SOTER,Southern Africa,Africa,1977
21.10333,-30.0,15,30,13.25,ZA-SOTER,Southern Africa,Africa,1980
-98.0235242,47.9212927,0,15,19.5,US-NCSS,Northern America,Northern America,1984
85.19888306,27.03372002,20,65,1.2,NP-SOTER,Southern Asia,Asia,Unknown
-99.1397247,36.875,0,10,1.1,US-NCSS,Northern America,Northern America,1988
-104.8737659,25.8932994,15,24,0.1,MX-INEGI,Central America,Northern America,2005
-97.92317939,19.27964211,20,42,0.1,MX-INEGI,Central America,Northern America,2002
-107.1179986,26.24465231,18,45,0.1,MX-INEGI,Central America,Northern America,2004
40.353258,-10.551928,0,10,0.8,AF-AfSP,Eastern Africa,Africa,1976
-101.4463746,24.61010064,0,12,1.0,MX-INEGI,Central America,Northern America,Unknown
-37.0,-7.266666667,0,9,0.4,WD-WISE,South America,South America,1986
-92.53132457,14.85371291,0,25,0.1,MX-INEGI,Central America,Northern America,2004
-111.7555542,35.6575012,18,38,1.1,US-NCSS,Northern America,Northern America,1977
-119.4465561,39.94627762,0,3,0.2,US-NCSS,Northern America,Northern America,1978
-107.8211136,37.1986122,0,3,0.9,US-NCSS,Northern America,Northern America,1980
135.7211392,-34.12319948,10,20,0.4,AU-CSIRO,Australia and New Zealand,Oceania,1992
75.88333333,11.16666667,0,13,0.0,WD-WISE,Southern Asia,Asia,1979
-102.8475,47.4788889,0,25,0.7,US-NCSS,Northern America,Northern America,Unknown
-115.6321111,36.2949167,19,28,0.8,US-NCSS,Northern America,Northern America,2004
-111.7777786,42.4733315,5,13,1.6,US-NCSS,Northern America,Northern America,1989
-101.5377307,20.18957766,0,18,0.3,MX-INEGI,Central America,Northern America,2003
-103.2397222,37.3800278,30,40,0.5,US-NCSS,Northern America,Northern America,2001
78.0,18.0,20,39,0.5,US-NCSS,Southern Asia,Asia,1990
-101.2921562,17.93015102,0,10,1.0,MX-INEGI,Central America,Northern America,1985
-111.7850726,31.23820992,24,50,1.0,MX-INEGI,Central America,Northern America,Unknown
-108.4602814,43.2144432,25,36,7.4,US-NCSS,Northern America,Northern America,1965
-101.9105408,28.44598292,16,36,1.0,MX-INEGI,Central America,Northern America,Unknown
-108.2713013,45.9271507,0,18,13.0,US-NCSS,Northern America,Northern America,1952
137.8979476,-33.76498603,0,6,1.3,AU-CSIRO,Australia and New Zealand,Oceania,1996
-92.01174338,15.98406964,27,53,1.0,MX-INEGI,Central America,Northern America,1984
-101.8648803,20.6056361,30,63,0.1,MX-INEGI,Central America,Northern America,2003
-97.5402756,44.8619461,0,25,3.5,US-NCSS,Northern America,Northern America,1988
169.2513145,-46.59014964,30,41,0.1,WD-WISE,Australia and New Zealand,Oceania,1968
-97.5363807,48.2408254,30,60,0.8,US-NCSS,Northern America,Northern America,2008
-112.326409,29.4328149,0,32,0.1,MX-INEGI,Central America,Northern America,2004
-103.8208333,48.4169444,20,28,0.7,US-NCSS,Northern America,Northern America,Unknown
140.7073937,-36.64062678,22,65,0.9,AU-CSIRO,Australia and New Zealand,Oceania,2007
