X,Y,upper_depth,lower_depth,value_avg,dataset_id,region,continent,date
-103.2550735,28.57213947,44.0,55.0,6.0,MX-INEGI,Central America,Northern America,Unknown
-95.93119651,18.01725397,38.0,59.0,0.0,MX-INEGI,Central America,Northern America,2004
-107.9499696,30.76280028,35.0,58.0,1.0,MX-INEGI,Central America,Northern America,Unknown
-97.183609,47.8972206,30.0,60.0,6.6,US-NCSS,Northern America,Northern America,2008
-103.9964294,45.3471756,35.0,45.0,1.7,US-NCSS,Northern America,Northern America,1978
-97.25448164,16.8091768,38.0,55.0,1.0,MX-INEGI,Central America,Northern America,Unknown
-102.8391667,46.8841667,38.0,56.0,0.4,US-NCSS,Northern America,Northern America,Unknown
-104.6457367,29.09968982,35.0,59.0,2.0,MX-INEGI,Central America,Northern America,1983
-102.0299639,21.97390586,44.0,52.0,0.2,MX-INEGI,Central America,Northern America,2002
17.083333,7.016667,33.0,60.0,0.1,WD-WISE,Middle Africa,Africa,1968
-54.58333333,-31.83333333,39.0,52.0,0.1,WD-WISE,South America,South America,Unknown
138.8942143,-34.64462293,40.0,56.0,0.4,AU-CSIRO,Australia and New Zealand,Oceania,1992
-97.89142567,21.67298649,30.0,56.0,0.1,MX-INEGI,Central America,Northern America,2003
-110.7375031,47.8572235,36.0,53.0,0.4,US-NCSS,Northern America,Northern America,1980
-122.0647222,39.2097222,32.0,52.0,1.3,US-NCSS,Northern America,Northern America,1993
-55.83333333,-31.91666667,38.0,48.0,0.0,WD-WISE,South America,South America,Unknown
-98.0126933,47.9179927,45.0,60.0,0.5,US-NCSS,Northern America,Northern America,1984
-112.7166672,45.998333,30.0,51.0,0.5,US-NCSS,Northern America,Northern America,1991
-110.8075333,48.3646355,30.0,41.0,0.4,US-NCSS,Northern America,Northern America,1988
-112.4372253,38.0475006,33.0,51.0,0.3,US-NCSS,Northern America,Northern America,1973
-113.224411,37.4835892,36.0,57.0,0.5,US-NCSS,Northern America,Northern America,1970
139.0524783,-34.96641702,35.0,60.0,1.4,AU-CSIRO,Australia and New Zealand,Oceania,1994
-101.0986099,43.4399986,36.0,58.0,3.4,US-NCSS,Northern America,Northern America,1958
-100.7737294,17.50745932,30.0,56.0,1.0,MX-INEGI,Central America,Northern America,1985
-111.7225675,25.13681882,30.0,45.0,0.1,MX-INEGI,Central America,Northern America,2005
116.910722,-30.578102,31.0,47.0,6.5,AU-CSIRO,Australia and New Zealand,Oceania,1988
-114.2244415,37.7969093,43.0,56.0,0.6,US-NCSS,Northern America,Northern America,1966
-113.5323973,28.87689988,40.0,50.0,0.1,MX-INEGI,Central America,Northern America,2004
-107.2266693,36.2224998,36.0,58.0,0.5,US-NCSS,Northern America,Northern America,1988
-108.4288807,27.38722476,41.0,59.0,0.1,MX-INEGI,Central America,Northern America,2004
-121.8141632,42.3166656,33.0,56.0,2.9,US-NCSS,Northern America,Northern America,1967
-97.6388855,36.7544441,41.0,56.0,6.0,US-NCSS,Northern America,Northern America,1979
-109.8666687,32.2086105,43.0,51.0,5.3,US-NCSS,Northern America,Northern America,1969
-107.1416179,25.71411881,37.0,52.0,0.0,MX-INEGI,Central America,Northern America,2005
-100.5982111,39.0628722,36.0,60.0,0.5,US-NCSS,Northern America,Northern America,2013
-119.9607697,41.8931923,46.0,56.0,0.6,US-NCSS,Northern America,Northern America,1969
-104.4880524,41.7455559,30.0,48.0,0.4,US-NCSS,Northern America,Northern America,1953
26.37667,-28.93,30.0,60.0,0.6,ZA-SOTER,Southern Africa,Africa,1973
-101.6652922,21.03100152,39.0,60.0,0.0,MX-INEGI,Central America,Northern America,1998
-103.7455521,41.8661118,30.0,43.0,1.5,US-NCSS,Northern America,Northern America,1953
-110.5902878,31.28603854,32.0,60.0,1.0,MX-INEGI,Central America,Northern America,Unknown
-97.0300827,46.4274826,38.0,46.0,0.7,US-NCSS,Northern America,Northern America,1994
-106.743591,28.50099581,33.0,51.0,2.4,MX-INEGI,Central America,Northern America,1990
-103.4211718,22.31431485,35.0,50.0,2.0,MX-INEGI,Central America,Northern America,1970
-98.3420334,40.9761162,31.0,45.0,4.5,US-NCSS,Northern America,Northern America,2000
-111.2600687,31.18440257,31.0,60.0,1.0,MX-INEGI,Central America,Northern America,Unknown
-97.3456292,48.5334364,30.0,60.0,4.5,US-NCSS,Northern America,Northern America,2008
23.52,55.24,46.0,57.0,1.0,EU-SOTER,Northern Europe,Europe,1975
-115.7481003,38.3224449,35.0,45.0,1.8,US-NCSS,Northern America,Northern America,1973
-98.96432495,47.69136429,30.0,46.0,0.9,US-NCSS,Northern America,Northern America,Unknown
-103.2604346,28.70093243,33.0,55.0,0.2,MX-INEGI,Central America,Northern America,2003
-115.1939087,37.3588562,41.0,58.0,0.4,US-NCSS,Northern America,Northern America,1959
-110.692583,27.93864684,35.0,60.0,1.8,MX-INEGI,Central America,Northern America,2005
138.2491909,-33.90563891,30.0,50.0,2.3,AU-CSIRO,Australia and New Zealand,Oceania,1993
-92.3697205,43.335556,38.0,48.0,0.2,US-NCSS,Northern America,Northern America,1956
26.1075001,-20.3097229,42.0,51.0,3.5,WD-WISE,Southern Africa,Africa,1986
34.9,-1.733333,30.0,45.0,0.5,AF-AfSP,Eastern Africa,Africa,1976
139.0505986,-34.88389283,30.0,50.0,0.3,AU-CSIRO,Australia and New Zealand,Oceania,1993
26.28,58.08,30.0,40.0,0.0,EU-SOTER,Northern Europe,Europe,1989
34.383333,11.833333,38.0,50.0,0.1,WD-WISE,Northern Africa,Africa,1981
-114.0737641,27.39268114,36.0,58.0,0.2,MX-INEGI,Central America,Northern America,2005
-111.0480957,48.4082451,33.0,43.0,0.5,US-NCSS,Northern America,Northern America,1988
-97.83979107,19.56059037,30.0,60.0,1.0,MX-INEGI,Central America,Northern America,Unknown
-107.1712898,29.34195797,30.0,55.0,0.1,MX-INEGI,Central America,Northern America,2003
-97.6422195,28.0505562,43.0,58.0,2.0,US-NCSS,Northern America,Northern America,1956
-98.2826157,37.947197,41.0,58.0,2.3,US-NCSS,Northern America,Northern America,2006
-99.3925,44.6863333,36.0,56.0,0.5,US-NCSS,Northern America,Northern America,2013
-104.5482731,24.1848249,40.0,50.0,2.0,MX-INEGI,Central America,Northern America,Unknown
105.8555527,47.8125,38.0,60.0,4.7,WD-WISE,Eastern Asia,Asia,1993
19.68277778,41.72416667,37.0,56.0,0.6,WD-WISE,Southern Europe,Europe,1995
-122.4411087,37.4413872,30.0,53.0,0.8,US-NCSS,Northern America,Northern America,1955
-98.3510813,23.85237494,30.0,60.0,15.0,MX-INEGI,Central America,Northern America,Unknown
-58.45,-35.0,35.0,55.0,0.1,WD-WISE,South America,South America,Unknown
-106.8192816,28.66250812,34.0,52.0,0.0,MX-INEGI,Central America,Northern America,2003
-114.8341675,46.5055542,31.0,56.0,0.1,US-NCSS,Northern America,Northern America,1977
-99.8755569,34.0269432,41.0,58.0,0.5,US-NCSS,Northern America,Northern America,2003
-103.859787,48.04717636,30.0,58.0,0.6,US-NCSS,Northern America,Northern America,1990
-99.61956434,26.27126994,30.0,55.0,0.1,MX-INEGI,Central America,Northern America,2005
-99.5341873,40.8499451,40.0,57.0,0.5,US-NCSS,Northern America,Northern America,2000
-76.44999695,-2.819999933,35.0,50.0,0.1,LAC-SOTER,South America,South America,Unknown
14.19972222,48.7,37.0,41.0,0.0,EU-SOTER,Eastern Europe,Europe,1966
-105.0628281,43.40856552,30.0,50.0,1.1,US-NCSS,Northern America,Northern America,1983
-111.5991079,25.04733733,45.0,54.0,2.1,MX-INEGI,Central America,Northern America,2005
20.53333333,50.45,50.0,60.0,0.3,WD-WISE,Eastern Europe,Europe,1982
-103.6568069,44.7796936,30.0,40.0,3.1,US-NCSS,Northern America,Northern America,Unknown
-99.4003171,46.3648403,30.0,45.0,0.8,US-NCSS,Northern America,Northern America,Unknown
-120.796669,44.8375015,30.0,48.0,0.4,US-NCSS,Northern America,Northern America,1957
-98.223053,43.4988899,43.0,58.0,14.2,US-NCSS,Northern America,Northern America,1971
